taxon,lfc,se,t_stat,p_ols,p_val,wilcoxon_p,auroc,gfc,n_ctrl,n_crc,q_val,significant,direction
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus,-0.9434,0.4678,-2.0167,0.04413447294612697,0.02,0.02,0.4448804391879444,-0.4003,327,332,0.058,False,depleted_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum,-1.0195,0.6461,-1.5779,0.11507738954228494,0.021,0.021,0.4467226704985077,-0.6684,327,332,0.058935,False,depleted_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified,-0.4053,0.1934,-2.0957,0.03649651962556062,0.023,0.023,0.4537784164179654,-0.0559,327,332,0.062531,False,depleted_CRC
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum,-1.7759,0.6818,-2.6048,0.0094025721800636,0.028,0.028,0.45032423271065913,-0.5134,327,332,0.073818,False,depleted_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans,-0.6085,0.4965,-1.2255,0.2208365374632483,0.034,0.034,0.4564496518182823,-0.297,327,332,0.087,False,depleted_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans,-0.8014,0.5238,-1.5301,0.1264771206663144,0.04,0.04,0.455058767178807,-0.5883,327,332,0.099429,False,depleted_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_57FAA,2.1047,0.5802,3.6278,0.00030835567941841504,0.052,0.052,0.5442227626100733,3.6197,327,332,0.125667,False,enriched_CRC
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname|s__Bacteroidales_bacterium_ph8,-0.7402,0.6186,-1.1965,0.2319510969899555,0.054,0.054,0.45969197892487385,-2.0818,327,332,0.126973,False,depleted_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena,-0.3881,0.531,-0.731,0.46502693264032113,0.068,0.068,0.4576102575439372,-0.3308,327,332,0.155684,False,depleted_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_7_1_58FAA,1.1674,0.4292,2.7197,0.006708714162567692,0.077,0.077,0.5373051840389079,2.3068,327,332,0.171769,False,enriched_CRC
