rank,mean_auroc,std_auroc,params,param_path_smooth,param_num_leaves,param_n_estimators,param_min_child_samples,param_learning_rate,param_lambda_l2,param_lambda_l1,param_feature_fraction,param_extra_trees,param_bagging_fraction
28,0.7336546560339354,0.09549266840742653,"{'path_smooth': 0, 'num_leaves': 7, 'n_estimators': 500, 'min_child_samples': 30, 'learning_rate': 0.01, 'lambda_l2': 1, 'lambda_l1': 0.5, 'feature_fraction': 0.6, 'extra_trees': True, 'bagging_fraction': 0.9}",0,7,500,30,0.01,1.0,0.5,0.6,True,0.9
29,0.7335896259434236,0.09445855973418074,"{'path_smooth': 1, 'num_leaves': 7, 'n_estimators': 500, 'min_child_samples': 10, 'learning_rate': 0.01, 'lambda_l2': 1, 'lambda_l1': 1, 'feature_fraction': 0.4, 'extra_trees': True, 'bagging_fraction': 0.9}",1,7,500,10,0.01,1.0,1.0,0.4,True,0.9
30,0.7335896259434236,0.09445855973418074,"{'path_smooth': 1, 'num_leaves': 7, 'n_estimators': 500, 'min_child_samples': 10, 'learning_rate': 0.01, 'lambda_l2': 1, 'lambda_l1': 1, 'feature_fraction': 0.4, 'extra_trees': True, 'bagging_fraction': 0.7}",1,7,500,10,0.01,1.0,1.0,0.4,True,0.7
31,0.7335024734986034,0.08868021486229591,"{'path_smooth': 10, 'num_leaves': 15, 'n_estimators': 500, 'min_child_samples': 20, 'learning_rate': 0.01, 'lambda_l2': 1, 'lambda_l1': 1, 'feature_fraction': 0.2, 'extra_trees': True, 'bagging_fraction': 0.9}",10,15,500,20,0.01,1.0,1.0,0.2,True,0.9
32,0.7335024734986034,0.08868021486229591,"{'path_smooth': 10, 'num_leaves': 15, 'n_estimators': 500, 'min_child_samples': 20, 'learning_rate': 0.01, 'lambda_l2': 1, 'lambda_l1': 1, 'feature_fraction': 0.2, 'extra_trees': True, 'bagging_fraction': 0.7}",10,15,500,20,0.01,1.0,1.0,0.2,True,0.7
33,0.7334989946928518,0.09820198398139322,"{'path_smooth': 1, 'num_leaves': 63, 'n_estimators': 500, 'min_child_samples': 20, 'learning_rate': 0.01, 'lambda_l2': 0, 'lambda_l1': 1, 'feature_fraction': 0.6, 'extra_trees': True, 'bagging_fraction': 0.9}",1,63,500,20,0.01,0.0,1.0,0.6,True,0.9
34,0.7334989946928518,0.09820198398139322,"{'path_smooth': 1, 'num_leaves': 63, 'n_estimators': 500, 'min_child_samples': 20, 'learning_rate': 0.01, 'lambda_l2': 0, 'lambda_l1': 1, 'feature_fraction': 0.6, 'extra_trees': True, 'bagging_fraction': 0.7}",1,63,500,20,0.01,0.0,1.0,0.6,True,0.7
35,0.7334989946928518,0.09820198398139322,"{'path_smooth': 1, 'num_leaves': 31, 'n_estimators': 500, 'min_child_samples': 20, 'learning_rate': 0.01, 'lambda_l2': 0, 'lambda_l1': 1, 'feature_fraction': 0.6, 'extra_trees': True, 'bagging_fraction': 0.7}",1,31,500,20,0.01,0.0,1.0,0.6,True,0.7
36,0.7334377456324608,0.09460390213353236,"{'path_smooth': 10, 'num_leaves': 7, 'n_estimators': 500, 'min_child_samples': 10, 'learning_rate': 0.01, 'lambda_l2': 1, 'lambda_l1': 1, 'feature_fraction': 0.6, 'extra_trees': True, 'bagging_fraction': 0.9}",10,7,500,10,0.01,1.0,1.0,0.6,True,0.9
37,0.7334377456324608,0.09460390213353236,"{'path_smooth': 10, 'num_leaves': 7, 'n_estimators': 500, 'min_child_samples': 10, 'learning_rate': 0.01, 'lambda_l2': 1, 'lambda_l1': 1, 'feature_fraction': 0.6, 'extra_trees': True, 'bagging_fraction': 0.7}",10,7,500,10,0.01,1.0,1.0,0.6,True,0.7
38,0.7334327956425359,0.09605438030448893,"{'path_smooth': 0, 'num_leaves': 7, 'n_estimators': 500, 'min_child_samples': 20, 'learning_rate': 0.01, 'lambda_l2': 1, 'lambda_l1': 0.5, 'feature_fraction': 0.6, 'extra_trees': True, 'bagging_fraction': 0.7}",0,7,500,20,0.01,1.0,0.5,0.6,True,0.7
39,0.733264742270346,0.09082863273137863,"{'path_smooth': 10, 'num_leaves': 7, 'n_estimators': 500, 'min_child_samples': 10, 'learning_rate': 0.01, 'lambda_l2': 0, 'lambda_l1': 0.5, 'feature_fraction': 0.4, 'extra_trees': True, 'bagging_fraction': 0.7}",10,7,500,10,0.01,0.0,0.5,0.4,True,0.7
40,0.733264742270346,0.09082863273137863,"{'path_smooth': 10, 'num_leaves': 7, 'n_estimators': 500, 'min_child_samples': 10, 'learning_rate': 0.01, 'lambda_l2': 0, 'lambda_l1': 0.5, 'feature_fraction': 0.4, 'extra_trees': True, 'bagging_fraction': 0.9}",10,7,500,10,0.01,0.0,0.5,0.4,True,0.9
41,0.7331947713907615,0.09677885373917874,"{'path_smooth': 10, 'num_leaves': 7, 'n_estimators': 500, 'min_child_samples': 20, 'learning_rate': 0.01, 'lambda_l2': 1, 'lambda_l1': 0, 'feature_fraction': 0.6, 'extra_trees': True, 'bagging_fraction': 0.9}",10,7,500,20,0.01,1.0,0.0,0.6,True,0.9
42,0.7331947713907615,0.09677885373917874,"{'path_smooth': 10, 'num_leaves': 7, 'n_estimators': 500, 'min_child_samples': 20, 'learning_rate': 0.01, 'lambda_l2': 1, 'lambda_l1': 0, 'feature_fraction': 0.6, 'extra_trees': True, 'bagging_fraction': 0.7}",10,7,500,20,0.01,1.0,0.0,0.6,True,0.7
43,0.7331440860433616,0.09547537106610637,"{'path_smooth': 10, 'num_leaves': 63, 'n_estimators': 500, 'min_child_samples': 30, 'learning_rate': 0.01, 'lambda_l2': 0, 'lambda_l1': 1, 'feature_fraction': 0.4, 'extra_trees': True, 'bagging_fraction': 0.9}",10,63,500,30,0.01,0.0,1.0,0.4,True,0.9
